// Intrepid WormE 3D contacts, Projection: LAM_AUST2, Datum: GDA94
// Intrepid assumes the solutions are below a aero-survey drape surface (zero value), with Z positive upwards
Contact,Easting,Northing,Elevation,Anomaly
Contact1,947795.312500,-1430933.375000,-15800.000000,0.002385
Contact1,953882.250000,-1480000.000000,-15800.000000,0.003090
Contact1,960597.812500,-1531200.000000,-15800.000000,0.002787
Contact1,972184.500000,-1569039.000000,-15800.000000,0.001829
Contact1,1003977.875000,-1565993.375000,-15800.000000,0.001716
Contact2,856706.375000,-1597333.375000,-15800.000000,0.002486
Contact2,857055.125000,-1633600.000000,-15800.000000,0.002850
Contact2,854789.812500,-1672000.000000,-15800.000000,0.003576
Contact2,846729.000000,-1708308.375000,-15800.000000,0.004424
Contact2,841665.500000,-1729001.125000,-15800.000000,0.004456
Contact3,-727512.500000,-1705554.125000,-15800.000000,0.001211
Contact3,-705178.500000,-1730021.500000,-15800.000000,0.001632
Contact3,-689263.125000,-1763003.500000,-15800.000000,0.001960
Contact3,-670408.250000,-1798925.125000,-15800.000000,0.001713
Contact3,-658666.687500,-1792886.750000,-15800.000000,0.001327
Contact3,-691941.000000,-1719837.875000,-3300.000000,0.001367
Contact3,-700269.062500,-1742400.000000,-3300.000000,0.002287
Contact3,-689517.750000,-1768082.250000,-3300.000000,0.002043
Contact3,-677370.687500,-1789829.250000,-3300.000000,0.002303
Contact3,-657882.687500,-1807392.625000,-3300.000000,0.001818
Contact3,-656533.312500,-1808341.000000,-3300.000000,0.001711
Contact4,-394966.031250,-1729432.500000,-15800.000000,0.001379
Contact4,-376752.843750,-1755161.875000,-15800.000000,0.001500
Contact4,-390213.531250,-1783280.250000,-15800.000000,0.001470
Contact4,-404641.281250,-1812800.000000,-15800.000000,0.001272
Contact5,-122302.648438,-1734764.000000,-15800.000000,0.002270
Contact5,-97341.609375,-1759725.000000,-15800.000000,0.002192
Contact5,-84194.890625,-1800000.000000,-15800.000000,0.001825
Contact5,-77136.867188,-1851200.000000,-15800.000000,0.000833
Contact5,-83066.046875,-1810666.625000,-3300.000000,0.002430
Contact5,-77414.734375,-1838400.000000,-3300.000000,0.001970
Contact5,-72897.500000,-1867200.000000,-3300.000000,0.002188
Contact5,-80713.351563,-1889600.000000,-3300.000000,0.003109
Contact5,-76237.992188,-1914856.125000,-3300.000000,0.002523
Contact5,-76237.992188,-1914856.125000,-3300.000000,0.002523
Contact6,-327281.593750,-1781518.375000,-15800.000000,0.000428
Contact6,-295289.656250,-1804977.000000,-15800.000000,0.000413
Contact6,-267101.687500,-1827175.500000,-15800.000000,0.000829
Contact6,-248847.562500,-1870400.000000,-15800.000000,0.000944
Contact6,-254956.015625,-1883371.500000,-15800.000000,0.000625
Contact7,-531967.187500,-1826432.875000,-15800.000000,0.001252
Contact7,-512939.531250,-1849047.500000,-15800.000000,0.001674
Contact7,-475200.000000,-1840693.750000,-15800.000000,0.001322
Contact7,-442844.343750,-1834489.000000,-15800.000000,0.001368
Contact7,-421866.656250,-1841887.625000,-15800.000000,0.001231
Contact8,239662.921875,-1831467.750000,-15800.000000,0.000906
Contact8,240297.765625,-1884031.625000,-15800.000000,0.000870
Contact8,255759.812500,-1921600.000000,-15800.000000,0.001717
Contact8,277324.937500,-1967991.625000,-15800.000000,0.001466
Contact8,290535.187500,-2017600.000000,-15800.000000,0.001677
Contact8,290513.000000,-2019733.375000,-15800.000000,0.001624
Contact9,-5866.666504,-1865972.625000,-15800.000000,0.001586
Contact9,30634.513672,-1864548.625000,-15800.000000,0.002208
Contact9,75200.000000,-1863084.875000,-15800.000000,0.002562
Contact9,101745.968750,-1888412.625000,-15800.000000,0.001680
Contact9,-13228.231445,-1857345.750000,-3300.000000,0.002511
Contact9,-2994.450195,-1867686.625000,-3300.000000,0.002408
Contact9,14026.106445,-1873072.875000,-3300.000000,0.001952
Contact9,36800.000000,-1874432.000000,-3300.000000,0.002147
Contact9,51253.578125,-1871008.875000,-3300.000000,0.001959
Contact9,51253.578125,-1871008.875000,-3300.000000,0.001959
Contact10,-379269.156250,-1885402.500000,-15800.000000,0.001497
Contact10,-350545.656250,-1894787.625000,-15800.000000,0.001571
Contact10,-315200.000000,-1900589.250000,-15800.000000,0.001776
Contact10,-276800.000000,-1905644.500000,-15800.000000,0.001296
Contact10,-320533.343750,-1895913.750000,-3300.000000,0.002558
Contact10,-299542.125000,-1900558.125000,-3300.000000,0.002174
Contact10,-280000.000000,-1907245.625000,-3300.000000,0.003818
Contact10,-263033.312500,-1914033.375000,-3300.000000,0.003097
Contact10,-262404.875000,-1931450.875000,-3300.000000,0.001982
Contact10,-262404.875000,-1931450.875000,-3300.000000,0.001982
Contact11,-624533.312500,-1956910.375000,-15800.000000,0.004440
Contact11,-657072.562500,-1984005.875000,-15800.000000,0.005513
Contact11,-674621.562500,-2017988.625000,-15800.000000,0.005335
Contact11,-689222.437500,-2068800.000000,-15800.000000,0.002972
Contact11,-684266.687500,-2115339.500000,-15800.000000,0.002867
Contact11,-684266.687500,-2115339.500000,-15800.000000,0.002867
Contact11,-671178.250000,-2014000.125000,-3300.000000,0.008834
Contact11,-673856.250000,-2035989.625000,-3300.000000,0.014604
Contact11,-684722.250000,-2056000.000000,-3300.000000,0.009934
Contact11,-670979.937500,-2066099.125000,-3300.000000,0.005646
Contact11,-658949.250000,-2056436.250000,-3300.000000,0.003338
Contact11,-658949.250000,-2056436.250000,-3300.000000,0.003338
Contact12,1219066.000000,-1987733.375000,-15800.000000,0.001871
Contact12,1231085.125000,-2019351.750000,-15800.000000,0.001789
Contact12,1235251.125000,-2049600.000000,-15800.000000,0.001293
Contact12,1247307.375000,-2080374.000000,-15800.000000,0.001236
Contact13,-75590.828125,-2006933.375000,-15800.000000,0.002038
Contact13,-70403.664063,-2043200.000000,-15800.000000,0.001476
Contact13,-59823.726563,-2074576.250000,-15800.000000,0.001181
Contact13,-71587.367188,-2100800.000000,-15800.000000,0.000880
Contact13,-76349.109375,-2107517.750000,-15800.000000,0.000653
Contact14,-1161153.500000,-2038933.375000,-15800.000000,0.002023
Contact14,-1167816.750000,-2061683.500000,-15800.000000,0.003019
Contact14,-1189700.250000,-2081433.500000,-15800.000000,0.001697
Contact14,-1215766.875000,-2103233.500000,-15800.000000,0.001457
Contact14,-1224988.000000,-2112454.750000,-15800.000000,0.001360
Contact15,493853.468750,-2040546.500000,-15800.000000,0.001411
Contact15,440000.000000,-2049941.625000,-15800.000000,0.002347
Contact15,395083.125000,-2060074.625000,-15800.000000,0.002924
Contact15,337600.000000,-2059062.625000,-15800.000000,0.003083
Contact15,298658.062500,-2046924.750000,-15800.000000,0.002532
Contact15,422933.343750,-2047918.750000,-3300.000000,0.003109
Contact15,405872.593750,-2053860.750000,-3300.000000,0.007051
Contact15,392000.000000,-2063159.000000,-3300.000000,0.005406
Contact15,369600.000000,-2068983.000000,-3300.000000,0.006962
Contact15,352533.343750,-2063192.625000,-3300.000000,0.006234
Contact16,240738.875000,-2071794.500000,-15800.000000,0.001999
Contact16,220029.921875,-2086103.375000,-15800.000000,0.001987
Contact16,204255.859375,-2112544.250000,-15800.000000,0.001531
Contact16,169387.875000,-2130345.500000,-15800.000000,0.000753
Contact16,165252.718750,-2140632.250000,-15800.000000,0.000652
Contact17,-148329.546875,-2146070.500000,-15800.000000,0.000985
Contact17,-132075.968750,-2166590.750000,-15800.000000,0.001464
Contact17,-115760.601563,-2189306.000000,-15800.000000,0.001456
Contact17,-102014.851563,-2215851.750000,-15800.000000,0.001085
Contact18,188266.671875,-2161176.250000,-15800.000000,0.001912
Contact18,159301.218750,-2178832.000000,-15800.000000,0.001684
Contact18,137619.765625,-2194113.500000,-15800.000000,0.001613
Contact18,108564.156250,-2206102.500000,-15800.000000,0.000711
Contact18,93982.960938,-2207883.750000,-15800.000000,0.000638
Contact19,-1164266.625000,-2171932.250000,-15800.000000,0.001729
Contact19,-1115515.375000,-2188487.000000,-15800.000000,0.001748
Contact19,-1077435.000000,-2202565.000000,-15800.000000,0.001526
Contact19,-1043029.312500,-2219847.500000,-15800.000000,0.002538
Contact19,-1016985.250000,-2245948.000000,-15800.000000,0.002962
Contact19,-1014596.312500,-2248337.000000,-15800.000000,0.002908
Contact20,643531.187500,-2193802.250000,-15800.000000,0.001511
Contact20,625414.125000,-2228800.000000,-15800.000000,0.002397
Contact20,618959.562500,-2286400.000000,-15800.000000,0.002448
Contact20,605638.500000,-2338361.500000,-15800.000000,0.002024
Contact20,590885.125000,-2384533.250000,-15800.000000,0.001767
Contact20,590885.125000,-2384533.250000,-15800.000000,0.001767
Contact21,-1007104.062500,-2247296.000000,-15800.000000,0.002995
Contact21,-968040.000000,-2282093.250000,-15800.000000,0.002700
Contact21,-931675.187500,-2314191.500000,-15800.000000,0.001891
Contact21,-902819.687500,-2355847.000000,-15800.000000,0.002090
Contact21,-861681.187500,-2390657.750000,-15800.000000,0.001730
Contact21,-860497.812500,-2396035.500000,-15800.000000,0.001783
Contact22,-101866.664063,-2259672.750000,-15800.000000,0.001231
Contact22,-46694.628906,-2294638.750000,-15800.000000,0.001893
Contact22,-6448.317871,-2334885.000000,-15800.000000,0.002087
Contact22,41283.687500,-2371950.250000,-15800.000000,0.001455
Contact22,66300.984375,-2418630.750000,-15800.000000,0.001793
Contact22,61655.917969,-2419410.750000,-15800.000000,0.001894
Contact22,-40751.460938,-2299515.250000,-3300.000000,0.004225
Contact22,-29565.453125,-2307501.250000,-3300.000000,0.005171
Contact22,-18277.166016,-2315589.500000,-3300.000000,0.005223
Contact22,-10691.988281,-2327441.250000,-3300.000000,0.005351
Contact22,-6051.708984,-2331015.000000,-3300.000000,0.005249
Contact23,1268707.000000,-2295907.000000,-15800.000000,0.001641
Contact23,1283723.375000,-2321590.000000,-15800.000000,0.001672
