// Intrepid WormE 3D contact limited extents box, Projection: LAM_AUST2, Datum: GDA94
// Intrepid assumes the solutions are below a aero-survey drape surface (zero value), with Z positive upwards
// This file also must be imported by Geomodeller along with the contacts, to define enough constraints to create a limited fault surface
Contact,HorizontalRadius,VerticalRadius,InfluenceDistance
Contact1,139846.6,64000.0,28091.3
Contact2,173014.6,64000.0,13090.5
Contact3,101406.7,64000.0,37089.6
Contact3,101406.7,64000.0,37089.6
Contact4,103923.7,64000.0,27561.8
Contact5,187938.4,64000.0,25289.7
Contact5,187938.4,64000.0,25289.7
Contact6,103122.1,64000.0,39502.6
Contact7,91412.8,64000.0,15285.6
Contact8,156452.3,64000.0,26466.4
Contact9,111047.3,64000.0,24172.2
Contact9,111047.3,64000.0,24172.2
Contact10,117497.6,64000.0,30970.6
Contact10,117497.6,64000.0,30970.6
Contact11,138547.5,64000.0,34975.1
Contact11,138547.5,64000.0,34975.1
Contact12,117953.4,64000.0,30454.8
Contact13,85797.9,64000.0,17095.6
Contact14,88041.8,64000.0,36760.7
Contact15,164879.6,64000.0,17164.1
Contact15,164879.6,64000.0,17164.1
Contact16,113340.5,64000.0,48762.7
Contact17,99820.4,64000.0,38173.3
Contact18,100812.9,64000.0,33580.5
Contact19,152679.0,64000.0,41667.1
Contact20,238317.7,64000.0,35226.3
Contact21,167084.2,64000.0,73309.4
Contact22,190071.9,64000.0,79886.9
Contact22,190071.9,64000.0,79886.9
Contact23,97284.8,64000.0,42202.2
Contact23,97284.8,64000.0,42202.2
Contact24,118697.9,64000.0,23073.4
Contact25,77570.4,64000.0,13144.5
Contact26,265916.5,64000.0,94791.1
Contact27,164516.8,64000.0,22014.9
Contact28,109509.1,64000.0,23910.6
Contact29,150618.8,64000.0,43620.6
Contact30,138236.0,64000.0,28013.9
Contact31,240971.5,64000.0,59868.9
Contact31,240971.5,64000.0,59868.9
Contact32,197927.6,64000.0,52782.6
Contact32,197927.6,64000.0,52782.6
Contact33,172364.8,64000.0,48880.7
Contact33,172364.8,64000.0,48880.7
Contact34,234239.5,64000.0,39967.3
Contact34,234239.5,64000.0,39967.3
Contact35,190599.0,64000.0,23417.5
Contact35,190599.0,64000.0,23417.5
Contact36,177500.1,64000.0,44120.1
Contact37,87508.4,64000.0,19417.1
Contact38,232542.6,64000.0,31683.0
Contact38,232542.6,64000.0,31683.0
Contact39,231565.0,64000.0,27657.6
Contact40,107437.0,64000.0,43770.5
Contact41,177845.6,64000.0,31315.2
Contact41,177845.6,64000.0,31315.2
Contact42,163253.4,64000.0,67112.9
Contact43,132426.6,64000.0,53002.8
Contact43,132426.6,64000.0,53002.8
Contact44,153131.2,64000.0,55007.8
Contact44,153131.2,64000.0,55007.8
Contact45,167550.8,64000.0,58373.9
Contact45,167550.8,64000.0,58373.9
Contact46,186740.8,64000.0,47212.8
Contact46,186740.8,64000.0,47212.8
Contact47,113092.6,64000.0,17440.7
Contact48,110649.4,64000.0,23039.7
Contact49,212832.2,64000.0,69117.5
Contact50,112442.9,64000.0,26830.1
Contact51,85911.2,64000.0,5413.0
Contact52,119335.2,64000.0,34152.6
Contact53,141406.7,64000.0,48170.9
Contact53,141406.7,64000.0,48170.9
Contact54,143133.4,64000.0,32739.9
Contact54,143133.4,64000.0,32739.9
Contact55,81895.4,64000.0,30228.1
Contact56,147233.3,64000.0,22108.9
Contact57,115920.6,64000.0,45929.0
Contact58,90731.1,64000.0,37907.8
Contact58,90731.1,64000.0,37907.8
Contact59,81254.4,64000.0,25690.3
Contact60,250373.5,64000.0,19579.8
Contact61,275040.9,64000.0,24585.8
Contact61,275040.9,64000.0,24585.8
Contact62,211258.7,64000.0,14840.9
Contact63,86507.0,64000.0,29232.9
Contact64,100930.1,64000.0,41448.8
Contact65,95785.8,64000.0,23812.2
Contact66,97734.0,64000.0,29756.4
Contact67,105146.2,64000.0,30080.3
Contact68,96841.8,64000.0,41702.8
Contact68,96841.8,64000.0,41702.8
Contact69,140706.9,64000.0,15525.5
Contact69,140706.9,64000.0,15525.5
Contact70,95381.9,64000.0,18751.5
Contact71,197916.0,64000.0,48615.1
Contact71,197916.0,64000.0,48615.1
Contact72,249070.7,64000.0,22624.8
Contact72,249070.7,64000.0,22624.8
Contact73,203589.6,64000.0,48830.2
Contact74,110614.8,64000.0,26918.9
Contact75,129350.3,64000.0,54803.0
Contact76,93560.3,64000.0,31032.1
Contact77,126782.1,64000.0,13257.7
Contact78,113585.0,64000.0,35802.0
Contact78,113585.0,64000.0,35802.0
Contact79,132833.1,64000.0,55730.3
Contact80,113948.5,64000.0,46167.7
Contact81,166711.3,64000.0,72062.0
Contact82,177020.7,64000.0,68469.1
Contact83,109506.4,64000.0,39284.9
Contact84,148477.9,64000.0,56150.4
Contact84,148477.9,64000.0,56150.4
Contact85,84436.8,64000.0,33201.9
Contact86,121609.4,64000.0,25792.6
Contact87,93319.8,64000.0,18272.8
Contact88,181942.0,64000.0,19667.6
Contact89,102182.3,64000.0,27583.4
Contact90,189645.9,64000.0,32445.4
Contact90,189645.9,64000.0,32445.4
Contact91,108367.0,64000.0,24990.9
Contact91,108367.0,64000.0,24990.9
Contact92,177744.4,64000.0,64079.5
Contact93,129175.6,64000.0,21792.3
Contact94,124099.2,64000.0,28545.0
Contact94,124099.2,64000.0,28545.0
Contact95,93825.8,64000.0,13398.7
Contact96,115767.2,64000.0,19926.4
Contact97,82300.0,64000.0,10223.0
Contact97,82300.0,64000.0,10223.0
Contact98,98970.6,64000.0,38922.5
Contact99,102413.4,64000.0,21969.9
Contact100,125640.5,64000.0,38491.2
Contact101,197003.9,64000.0,19334.0
Contact102,196037.2,64000.0,86166.4
Contact102,196037.2,64000.0,86166.4
Contact103,125736.1,64000.0,26395.5
Contact104,94381.9,64000.0,23677.5
Contact104,94381.9,64000.0,23677.5
Contact105,240906.5,64000.0,94445.5
Contact105,240906.5,64000.0,94445.5
