// Intrepid WormE 3D contact orientations, Projection: LAM_AUST2, Datum: GDA94
// Intrepid assumes the solutions are below a aero-survey drape surface (zero value), with Z positive upwards
// This file also must be imported by Geomodeller along with the contacts, to define enough constraints to create fault surfaces
Contact,Easting,Northing,Elevation,DipDirection,Dip,Polarity
Contact1,961063.1,-1502693.8,-15800.0,254.0,73.7, 1
Contact2,852585.3,-1663580.1,-15800.0,96.0,65.1, 1
Contact3,-695799.8,-1750857.2,-15800.0,238.0,84.9, 1
Contact3,-685097.8,-1768224.6,-3300.0,249.0,58.0, 1
Contact4,-394145.1,-1785843.4,-15800.0,105.0,69.2, 1
Contact5,-88820.1,-1803781.9,-15800.0,255.0,53.5, 1
Contact5,-77650.9,-1862681.1,-3300.0,267.0,53.4, 1
Contact6,-281577.3,-1824167.0,-15800.0,229.0,63.8, 1
Contact7,-476851.5,-1839879.3,-15800.0,179.0,47.9, 1
Contact8,259610.3,-1927463.7,-15800.0,251.0,67.5, 1
Contact9,59031.3,-1872766.7,-15800.0,195.0,61.4, 1
Contact9,17714.2,-1870482.7,-3300.0,191.0,57.3, 1
Contact10,-318674.9,-1898598.5,-15800.0,189.0,67.2, 1
Contact10,-288263.3,-1906875.6,-3300.0,205.0,68.6, 1
Contact11,-670477.5,-2029890.9,-15800.0,111.0,56.3, 1
Contact11,-674053.0,-2035124.8,-3300.0,90.0,52.7, 1
Contact12,1235934.4,-2038693.0,-15800.0,250.0,62.2, 1
Contact13,-69764.8,-2056763.4,-15800.0,265.0,61.6, 1
Contact14,-1189836.3,-2079104.1,-15800.0,136.0,78.6, 1
Contact15,396861.1,-2053506.6,-15800.0,176.0,85.7, 1
Contact15,389212.8,-2060491.5,-3300.0,163.0,56.9, 1
Contact16,202349.2,-2105455.2,-15800.0,139.0,66.4, 1
Contact17,-120502.2,-2185358.6,-15800.0,234.0,57.3, 1
Contact18,142665.7,-2187276.4,-15800.0,150.0,70.9, 1
Contact19,-1086351.5,-2203685.3,-15800.0,205.0,66.5, 1
Contact20,616271.0,-2288955.7,-15800.0,102.0,71.5, 1
Contact21,-932433.2,-2320335.9,-15800.0,225.0,73.4, 1
Contact22,-9877.6,-2327873.3,-15800.0,221.0,80.7, 1
Contact22,-22900.0,-2314705.0,-3300.0,221.0,82.3, 1
Contact23,1301774.0,-2327087.2,-15800.0,214.0,70.8, 1
Contact23,1299463.2,-2327554.2,-3300.0,209.0,47.6, 1
Contact24,-1091418.1,-2331426.4,-15800.0,194.0,77.9, 1
Contact25,-653155.2,-2349168.6,-15800.0,266.0,74.1, 1
Contact26,-1191668.7,-2453350.1,-15800.0,237.0,55.2, 1
Contact27,1203483.7,-2376964.0,-15800.0,192.0,76.5, 1
Contact28,633179.1,-2427403.5,-15800.0,100.0,74.8, 1
Contact29,1480674.9,-2464440.1,-15800.0,242.0,82.5, 1
Contact30,-1250769.7,-2464936.9,-15800.0,251.0,61.8, 1
Contact31,725097.7,-2524810.3,-15800.0,249.0,74.7, 1
Contact31,735531.5,-2564874.5,-3300.0,244.0,60.4, 1
Contact32,-1296790.7,-2514262.8,-15800.0,238.0,48.1, 1
Contact32,-1282893.7,-2549765.1,-3300.0,245.0,71.6, 1
Contact33,784287.7,-2546182.5,-15800.0,239.0,60.3, 1
Contact33,801094.4,-2555942.7,-3300.0,256.0,67.4, 1
Contact34,621895.7,-2601272.9,-15800.0,254.0,58.8, 1
Contact34,593578.9,-2509641.6,-3300.0,256.0,56.5, 1
Contact35,584392.9,-2584999.5,-15800.0,254.0,48.2, 1
Contact35,579126.0,-2585577.6,-3300.0,257.0,64.3, 1
Contact36,122536.6,-2589171.3,-15800.0,202.0,56.6, 1
Contact37,-528878.3,-2572668.1,-15800.0,197.0,72.0, 1
Contact38,-139020.6,-2598826.5,-15800.0,190.0,64.1, 1
Contact38,-161925.7,-2599018.2,-3300.0,189.0,74.2, 1
Contact39,-421214.6,-2611844.1,-15800.0,172.0,58.7, 1
Contact40,1201677.1,-2629919.0,-15800.0,215.0,73.3, 1
Contact41,502882.4,-2716465.8,-15800.0,249.0,70.7, 1
Contact41,492523.3,-2668528.3,-3300.0,261.0,54.2, 1
Contact42,390429.4,-2717304.8,-15800.0,228.0,71.9, 1
Contact43,817658.1,-2701552.5,-15800.0,134.0,56.4, 1
Contact43,821711.9,-2723737.8,-3300.0,153.0,48.6, 1
Contact44,454552.3,-2722261.3,-15800.0,236.0,60.6, 1
Contact44,468504.4,-2736611.7,-3300.0,230.0,73.4, 1
Contact45,340582.7,-2732490.3,-15800.0,215.0,70.0, 1
Contact45,405268.6,-2783733.4,-3300.0,216.0,54.7, 1
Contact46,-1052580.8,-2771480.5,-15800.0,196.0,54.8, 1
Contact46,-1046298.5,-2782634.3,-3300.0,192.0,80.4, 1
Contact47,1488077.8,-2775093.4,-15800.0,259.0,66.1, 1
Contact48,1423730.7,-2797460.8,-15800.0,251.0,76.3, 1
Contact49,-1698916.0,-2820103.1,-15800.0,205.0,62.9, 1
Contact50,1635617.7,-2857886.2,-15800.0,251.0,71.3, 1
Contact51,-1244689.5,-2830616.0,-15800.0,175.0,77.1, 1
Contact52,-1878024.6,-2898863.6,-15800.0,244.0,62.5, 1
Contact53,1132267.2,-2933582.8,-15800.0,127.0,87.6, 1
Contact53,1148302.1,-2917124.9,-3300.0,133.0,53.1, 1
Contact54,-1060053.5,-2890827.6,-15800.0,205.0,63.1, 1
Contact54,-1042652.3,-2895438.5,-3300.0,197.0,73.7, 1
Contact55,790812.5,-2904230.0,-15800.0,143.0,62.3, 1
Contact56,-1426689.1,-2902985.1,-15800.0,190.0,75.8, 1
Contact57,-396132.4,-2924747.8,-15800.0,227.0,61.6, 1
Contact58,-770745.4,-2955420.7,-15800.0,227.0,49.2, 1
Contact58,-779385.6,-2956971.4,-3300.0,227.0,61.8, 1
Contact59,-1751664.4,-2974248.7,-15800.0,213.0,74.2, 1
Contact60,-512453.2,-2964593.5,-15800.0,184.0,52.8, 1
Contact61,-191861.0,-2976843.4,-15800.0,176.0,71.3, 1
Contact61,-235628.7,-2978706.6,-3300.0,181.0,77.4, 1
Contact62,1615736.9,-3085409.7,-15800.0,266.0,78.3, 1
Contact63,-1022255.5,-3055320.9,-15800.0,252.0,64.0, 1
Contact64,1096699.3,-3055649.9,-15800.0,227.0,74.6, 1
Contact65,1062194.4,-3086752.7,-15800.0,245.0,51.5, 1
Contact66,1364892.1,-3084355.4,-15800.0,118.0,59.6, 1
Contact67,1732237.0,-3133708.6,-15800.0,109.0,72.6, 1
Contact68,877116.9,-3125751.9,-15800.0,220.0,75.7, 1
Contact68,848579.3,-3096562.0,-3300.0,232.0,50.3, 1
Contact69,-1271982.9,-3176201.0,-15800.0,259.0,78.9, 1
Contact69,-1262669.6,-3237110.5,-3300.0,268.0,78.5, 1
Contact70,-1752874.4,-3196334.8,-15800.0,97.0,55.5, 1
