HoleID, X, Y, Z, Depth
CA25,  966380.94,  131408.73,     360.21,      39.00
CA26,  968002.86,  131914.53,     368.13,      85.00
FP115,  969977.42,  132405.01,     259.51,      23.00
O8CCA05,  967902.53,  131904.12,     355.73,     141.00
O8ECA07,  969945.97,  132402.02,     263.76,      30.00
O8ECA08,  969998.87,  132399.03,     256.34,      30.00
O8ECA10,  969879.11,  132369.99,     276.57,      55.00
O8ECA11,  969896.49,  132369.65,     272.87,      24.00
O8ECA12,  969909.44,  132372.11,     270.26,      35.00
O8ECA13,  969978.62,  132375.68,     258.71,      25.00
O8ECA15,  969869.44,  132342.47,     277.20,      50.00
O8ECA16,  969893.22,  132343.55,     271.49,      21.00
O8ECA17,  969917.77,  132347.34,     265.57,      38.00
O8ECA18,  969955.84,  132349.42,     257.14,      25.00
O8ECA19,  970014.79,  132354.93,     254.05,      25.00
O8ECA21,  969931.88,  132329.97,     262.95,      30.00
O8ECA23,  970005.14,  132336.91,     254.41,      20.00
O8EPR09,  970023.43,  132397.47,     253.26,      24.00
O8EPR14,  970004.50,  132377.21,     255.57,      54.00
O8EPR20,  969916.87,  132325.63,     265.09,      34.00
O8EPR22b,  969964.09,  132334.04,     259.48,      29.00
O8EPR24,  970037.45,  132342.87,     251.71,      19.00
O8WCA02,  966259.27,  131354.57,     349.54,      40.00
O8WCA03,  966243.61,  131331.09,     348.20,      35.00
O8WPR04,  966261.86,  131334.10,     350.89,      39.00
SC101,  966218.54,  131335.96,     340.49,      45.00
SC103,  967858.18,  131925.82,     349.64,      50.00
SC106,  969927.71,  132374.61,     265.88,      35.00
SC106bis,  969913.72,  132377.50,     270.36,      40.00
SC116,  969980.32,  132345.15,     257.82,      23.00
SC200,  969946.90,  132372.52,     262.89,      41.00
SC302,  966176.93,  131326.58,     333.60,      81.00
SC303c,  968132.21,  131961.11,     389.89,      25.00
SC304,  968003.12,  131910.17,     367.76,      50.00
SC306,  969941.60,  132344.29,     262.66,      33.00
SC307,  969917.76,  132358.92,     267.15,      39.00
SDC102,  967087.38,  131576.28,     420.13,     129.00
SDC104,  968736.39,  132155.60,     381.21,     121.00
SDC105,  969112.41,  132258.76,     379.95,     129.00
SDC107,  966623.87,  131423.28,     383.47,      81.00
SDC109,  967741.38,  131838.57,     389.60,     109.00
SDC110,  968357.71,  132070.15,     406.66,     141.00
SDC303d,  968132.49,  131954.54,     390.21,      45.00
SDC304b,  968003.00,  131910.00,     367.76,     109.00
