HoleID, Dip, Bearing, Length
CA25,      90.00,       0.00,      39.00
CA26,      90.00,       0.00,      51.00
FP115,      90.00,       0.00,       2.00
O8CCA05,      50.00,      72.00,      39.00
O8CCA05,      50.00,      72.00,     100.00
O8ECA07,      90.00,       0.00,       2.00
O8ECA07,      90.00,       0.00,      13.00
O8ECA08,      90.00,       0.00,       2.00
O8ECA10,      60.00,     263.00,      13.00
O8ECA10,      60.00,     263.00,      43.00
O8ECA11,      60.00,     263.00,       9.00
O8ECA12,      60.00,     263.00,       2.00
O8ECA13,      90.00,       0.00,       3.00
O8ECA15,      60.00,     263.00,       2.00
O8ECA15,      60.00,     263.00,      43.00
O8ECA16,      60.00,     263.00,       4.00
O8ECA17,      60.00,     263.00,       2.00
O8ECA18,      90.00,       0.00,       2.00
O8ECA18,      90.00,       0.00,      21.00
O8ECA19,      90.00,       0.00,      11.00
O8ECA21,      90.00,       0.00,       2.00
O8ECA23,      90.00,       0.00,      13.00
O8EPR09,      90.00,       0.00,       2.00
O8EPR14,      90.00,       0.00,       2.00
O8EPR20,      90.00,       0.00,      30.00
O8EPR22b,     90.00,       0.00,      29.00
O8EPR24,      90.00,       0.00,       2.00
O8WCA02,      90.00,       0.00,      40.00
O8WCA03,      90.00,       0.00,      35.00
O8WPR04,      90.00,       0.00,      39.00
SC101,      90.00,       0.00,       37.00
SC103,      90.00,       0.00,       50.00
SC106,      90.00,       0.00,      13.00
SC106bis,      80.00,     269.00,       4.00
SC116,      90.00,       0.00,       2.00
SC200,      90.00,       0.00,       2.00
SC200,      90.00,       0.00,      10.00
SC302,      90.00,       0.00,      81.00
SC303c,     90.00,       0.00,      25.00
SC304,      45.00,     269.00,      40.00
SC306,       9.00,     263.00,      16.00
SC307,      14.00,     263.00,       4.00
SDC102,      90.00,       0.00,      97.00
SDC104,      90.00,       0.00,     115.00
SDC105,      90.00,       0.00,      60.00
SDC107,      90.00,       0.00,      64.00
SDC109,      90.00,       0.00,     100.00
SDC110,      90.00,       0.00,     121.00
SDC303d,      90.00,       0.00,      43.00
SDC304b,      45.00,     250.00,      48.00
SDC304b,      45.00,     250.00,     104.00
