HoleID, X, Y, Z, Depth
PZ04BS4B002,  518748.80, 7505073.00,     511.77,     110.00
PZ04BS4B003,  523448.18, 7505775.10,     532.55,      76.00
PZ04BS4B005,  514471.09, 7497611.50,     534.07,      76.00
PZ04BS4B006,  519307.18, 7498759.00,     511.49,     124.00
PZ04BS4B007,  524388.01, 7500610.50,     542.65,      70.00
PZ04BS4B009,  517601.97, 7502448.90,     519.95,     124.00
PZ04BS4B010,  517750.64, 7501661.00,     517.56,     100.00
PZ04BS4B012,  518295.37, 7500852.40,     523.10,     100.00
PZ04BS4B014,  517841.74, 7499745.60,     543.33,     210.00
PZ04BS4B015,  517757.00, 7499925.50,     551.66,      80.00
PZ04BS4B016,  522223.79, 7501086.60,     591.89,     148.00
PZ04BS4B017,  522129.88, 7501024.60,     591.78,     178.00
PZ04BS4B018d,  518948.82, 7499523.10,     518.93,     100.00
PZ04BS4B018s,  518948.82, 7499533.10,     518.73,     100.00
PZ04BS4B019,  518938.11, 7499581.60,     518.53,      52.00
PZ04BS4B020,  518972.27, 7499385.90,     525.58,      74.00
PZ04BS4B024,  522787.51, 7501252.00,     597.89,     138.00
PZ04BS4B025,  515791.87, 7498801.40,     522.15,      88.00
PZ04BS4B026,  517364.97, 7499233.50,     577.80,     120.00
PZ04BS4B027,  517922.12, 7499591.60,     545.72,     142.00
PZ04BS4B029,  519847.01, 7500213.40,     545.64,      88.00
PZ04BS4B030,  521628.16, 7500374.90,     541.45,      96.00
PZ04BS4B031,  520275.35, 7499954.70,     520.86,     148.00
PZ04BS4B032,  518690.61, 7498731.00,     514.59,     120.00
PZ04BS4B033,  522148.72, 7500920.90,     594.19,     106.00
PZ04BS4B034,  520268.93, 7499864.40,     518.42,     152.00
PZ04BS4B035,  520272.26, 7499912.80,     519.20,     146.00
WB04BS4B014,  517825.17, 7499742.00,     543.69,     198.00
WB04BS4B017,  522115.08, 7501030.20,     591.72,     180.00
WB04BS4B018,  518983.20, 7499509.10,     517.72,      95.00
