HoleID, From, To, Geology
PZ04BS4B002,       0.00,      10.00, Cover
PZ04BS4B002,      10.00,      20.00, TD2
PZ04BS4B002,      20.00,      90.00, PLTUk
PZ04BS4B002,      90.00,     110.00, PLHo
PZ04BS4B003,       0.00,      22.00, Cover
PZ04BS4B003,      22.00,      76.00, PLTUk
PZ04BS4B005,       0.00,       6.00, Cover
PZ04BS4B005,       6.00,      12.00, TD2
PZ04BS4B005,      12.00,      76.00, AHm
PZ04BS4B006,       0.00,      14.00, TD2
PZ04BS4B006,      14.00,     124.00, AHm
PZ04BS4B007,       0.00,      22.00, TD2
PZ04BS4B007,      22.00,      70.00, AHs
PZ04BS4B009,       0.00,      10.00, TD2
PZ04BS4B009,      10.00,      92.00, PLTUk
PZ04BS4B009,      92.00,     124.00, PLHo
PZ04BS4B010,       0.00,       4.00, Cover
PZ04BS4B010,       4.00,      24.00, TD2
PZ04BS4B010,      24.00,     100.00, PLHw
PZ04BS4B012,       0.00,       4.00, Cover
PZ04BS4B012,       4.00,      30.00, TD2
PZ04BS4B012,      30.00,     100.00, Dolerite
PZ04BS4B014,       0.00,      20.00, TD2
PZ04BS4B014,      20.00,     210.00, PLHb
PZ04BS4B015,       0.00,      14.00, Cover
PZ04BS4B015,      14.00,      80.00, PLHb
PZ04BS4B016,       0.00,     148.00, PLHb
PZ04BS4B017,       0.00,     178.00, PLHb
PZ04BS4B018d,       0.00,       4.00, Cover
PZ04BS4B018d,       4.00,      22.00, TD2
PZ04BS4B018d,      22.00,     100.00, PLHb
PZ04BS4B018s,       0.00,       4.00, Cover
PZ04BS4B018s,       4.00,     100.00, PLHb
PZ04BS4B019,       0.00,       4.00, Cover
PZ04BS4B019,       4.00,      52.00, PLHb
PZ04BS4B020,       0.00,      56.00, PLHb
PZ04BS4B020,      56.00,      74.00, XX
PZ04BS4B024,       0.00,       6.00, Cover
PZ04BS4B024,       6.00,     138.00, PLHb
PZ04BS4B025,       0.00,       6.00, Cover
PZ04BS4B025,       6.00,      28.00, TD2
PZ04BS4B025,      28.00,      88.00, NS
PZ04BS4B026,       0.00,     120.00, PLHb
PZ04BS4B027,       0.00,       6.00, Cover
PZ04BS4B027,       6.00,     142.00, PLHb
PZ04BS4B029,       0.00,      22.00, Cover
PZ04BS4B029,      22.00,      88.00, PLHb
PZ04BS4B030,       0.00,       4.00, Cover
PZ04BS4B030,       4.00,      18.00, TD2
PZ04BS4B030,      18.00,      96.00, NS
PZ04BS4B031,       0.00,       8.00, Cover
PZ04BS4B031,       8.00,      34.00, TD2
PZ04BS4B031,      34.00,     148.00, AHs
PZ04BS4B032,       0.00,       4.00, Cover
PZ04BS4B032,       4.00,      20.00, TD2
PZ04BS4B032,      20.00,     120.00, Dolerite
PZ04BS4B033,       0.00,     106.00, PLHb
PZ04BS4B034,       0.00,       8.00, Cover
PZ04BS4B034,       8.00,      38.00, TD2
PZ04BS4B034,      38.00,     152.00, AHs
PZ04BS4B035,       0.00,      10.00, Cover
PZ04BS4B035,      10.00,      42.00, TD2
PZ04BS4B035,      42.00,     146.00, AHs
WB04BS4B014,       0.00,       4.00, Cover
WB04BS4B014,       4.00,      20.00, TD2
WB04BS4B014,      20.00,      30.00, PLHb
WB04BS4B014,      30.00,      40.00, NS
WB04BS4B014,      40.00,      46.00, PLHb
WB04BS4B014,      46.00,     198.00, NS
WB04BS4B017,       0.00,       6.00, Cover
WB04BS4B017,       6.00,      12.00, PLHb
WB04BS4B017,      12.00,      96.00, NS
WB04BS4B017,      96.00,     172.00, PLHb
WB04BS4B017,     172.00,     180.00, XX
WB04BS4B018,       0.00,      12.00, Cover
WB04BS4B018,      12.00,      18.00, TD2
WB04BS4B018,      18.00,      95.00, PLHb
