X,Y,Z,EventID,date,hour,Xerr,Yerr,Zerr,M,Strike,Dip,Rake,WID,X2,Y2
69368.4,120017.7,-4314.2,19,8/04/2005,17.926,25.1,24.5,52.3,0.4,NAN,NAN,NAN,NAN,475368.4,6923017.7
69430.4,120030.3,-4336.1,20,8/04/2005,17.945,35,33.8,66.1,-0.3,NAN,NAN,NAN,NAN,475430.4,6923030.3
70789.1,121257.6,-4057.3,32,9/04/2005,19.088,40.2,35.7,66.6,-0.5,NAN,NAN,NAN,NAN,476789.1,6924257.6
69245.7,120915.1,-4246.1,91,11/04/2005,10.323,34.1,33.1,63.3,0.1,NAN,NAN,NAN,NAN,475245.7,6923915.1
69233.5,120914.9,-4238.5,93,11/04/2005,11.382,47.9,61.8,88.6,0,NAN,NAN,NAN,NAN,475233.5,6923914.9
69198,120912,-4237.9,95,11/04/2005,12.478,51.6,53.9,109.1,0.5,NAN,NAN,NAN,NAN,475198,6923912
69282.6,118974.3,-4238.5,96,11/04/2005,13.003,41.3,41.1,81.5,0,NAN,NAN,NAN,NAN,475282.6,6921974.3
69230,120920.6,-4288.2,97,11/04/2005,13.101,24.4,25,50.1,0.1,NAN,NAN,NAN,NAN,475230,6923920.6
69234.3,120911.4,-4201.2,101,11/04/2005,23.166,28.8,28,54,0.9,NAN,NAN,NAN,NAN,475234.3,6923911.4
69250.9,120905.3,-4178,104,12/04/2005,15.528,36.3,38.4,91.4,0.1,NAN,NAN,NAN,NAN,475250.9,6923905.3
69237.4,120938,-4229.5,113,14/04/2005,16.259,34.4,35.9,73,0.2,NAN,NAN,NAN,NAN,475237.4,6923938
69245.6,120913.9,-4245.2,114,14/04/2005,16.365,34.8,35.6,72,0.4,NAN,NAN,NAN,NAN,475245.6,6923913.9
69434.1,120069.7,-4381,115,15/04/2005,4.135,23,21.8,38.7,0.3,NAN,NAN,NAN,NAN,475434.1,6923069.7
69260.7,120947.3,-4215.4,116,15/04/2005,9.207,28.8,30.5,72.1,-0.4,NAN,NAN,NAN,NAN,475260.7,6923947.3
69255.6,120952.5,-4219.9,117,15/04/2005,9.495,35.4,36.9,75.4,-0.3,NAN,NAN,NAN,NAN,475255.6,6923952.5
69248.2,120894.2,-4259.8,130,16/04/2005,23.476,40.2,42,84.5,-0.3,NAN,NAN,NAN,NAN,475248.2,6923894.2
70461.1,120591.4,-4119.7,132,17/04/2005,0.821,18.3,17.8,34.7,-0.3,NAN,NAN,NAN,NAN,476461.1,6923591.4
70512.5,120560,-4144.5,133,17/04/2005,0.822,12.5,12.4,23.9,0,NAN,NAN,NAN,NAN,476512.5,6923560
69405.6,120037.8,-4346.7,234,22/04/2005,8.145,35,28.6,49.5,0.5,NAN,NAN,NAN,NAN,475405.6,6923037.8
69371.9,120116.4,-4268.7,235,22/04/2005,20.994,46.5,43.8,99.6,-0.3,NAN,NAN,NAN,NAN,475371.9,6923116.4
69394.3,120091.8,-4323.4,344,9/07/2005,7.548,30.4,32.3,57.3,-0.5,NAN,NAN,NAN,NAN,475394.3,6923091.8
69414.2,120048.3,-4305.5,384,21/07/2005,12.155,27.2,25.5,48.7,-0.8,NAN,NAN,NAN,NAN,475414.2,6923048.3
69678.1,120041.4,-4128,420,26/07/2005,18.424,95.9,81.2,120.3,-0.8,NAN,NAN,NAN,NAN,475678.1,6923041.4
69693.2,120152.8,-4183,421,26/07/2005,19.463,74.2,83.8,104.1,-0.6,NAN,NAN,NAN,NAN,475693.2,6923152.8
69637.7,120154.4,-4089.6,422,26/07/2005,19.742,74.4,96.7,143.2,-0.6,NAN,NAN,NAN,NAN,475637.7,6923154.4
69723.2,120057.4,-4216.2,434,27/07/2005,8.937,69,61.3,113.3,-0.5,NAN,NAN,NAN,NAN,475723.2,6923057.4
